id	level	category	word	old_example	new_example	new_ko	new_en
v0201	A1-A2	ADJECTIFS	nouveau (nouvel) / nouvelle	C'est nouveau.	Nous testons un nouveau système cette semaine.	우리는 이번 주에 새로운 시스템을 시험하고 있다.	We are testing a new system this week.
v0202	A1-A2	ADJECTIFS	ancien / ancienne	C'est ancien.	Cet ancien bâtiment a été transformé en hôtel.	이 오래된 건물은 호텔로 개조되었다.	This old building was converted into a hotel.
v0203	A1-A2	ADJECTIFS	jeune	C'est jeune.	Il est encore jeune, mais il a déjà beaucoup d'expérience.	그는 아직 젊지만 이미 경험이 많다.	He is still young, but he already has a lot of experience.
v0204	A1-A2	ADJECTIFS	vieux (vieil) / vieille	C'est vieux.	Ce téléphone est vieux, mais il fonctionne encore bien.	이 휴대폰은 오래됐지만 아직 잘 작동한다.	This phone is old, but it still works well.
v0205	A1-A2	ADJECTIFS	âgé / âgée	C'est âgé.	Mon voisin est âgé et il marche avec une canne.	내 이웃은 연세가 많아서 지팡이를 짚고 걷는다.	My neighbor is elderly and walks with a cane.
v0206	A1-A2	ADJECTIFS	grand / grande	C'est grand.	Notre appartement est assez grand pour quatre personnes.	우리 아파트는 네 명이 살기에 충분히 크다.	Our apartment is big enough for four people.
v0207	A1-A2	ADJECTIFS	petit / petite	C'est petit.	La cuisine est petite, mais elle est bien organisée.	주방은 작지만 잘 정리되어 있다.	The kitchen is small, but it is well organized.
v0208	A1-A2	ADJECTIFS	long / longue	C'est long.	Le trajet est long, surtout aux heures de pointe.	이동 시간이 길고 특히 출퇴근 시간에는 더 그렇다.	The trip is long, especially during rush hour.
v0209	A1-A2	ADJECTIFS	court / courte	C'est court.	La réunion a été courte et efficace.	회의는 짧고 효율적이었다.	The meeting was short and efficient.
v0210	A1-A2	ADJECTIFS	épais / épaisse	C'est épais.	Ce livre est trop épais pour que je le lise en une soirée.	이 책은 너무 두꺼워서 하룻밤에 읽기 어렵다.	This book is too thick to read in one evening.
v0211	A1-A2	ADJECTIFS	gros / grosse	C'est gros.	Ce colis est trop gros pour entrer dans mon sac.	이 소포는 너무 커서 내 가방에 들어가지 않는다.	This package is too big to fit in my bag.
v0212	A1-A2	ADJECTIFS	mince	C'est mince.	Cette étagère est assez mince, mais elle semble solide.	이 선반은 꽤 얇지만 튼튼해 보인다.	This shelf is fairly thin, but it seems sturdy.
v0213	A1-A2	ADJECTIFS	dur / dure	C'est dur.	Ce matelas est trop dur pour moi.	이 매트리스는 나에게 너무 딱딱하다.	This mattress is too hard for me.
v0214	A1-A2	ADJECTIFS	doux / douce	C'est doux.	Ce tissu est doux au toucher.	이 천은 만졌을 때 부드럽다.	This fabric feels soft.
v0215	A1-A2	ADJECTIFS	sec / sèche	C'est sec.	Le sol est enfin sec, tu peux marcher dessus.	바닥이 이제 말랐으니 위를 걸어도 된다.	The floor is finally dry; you can walk on it.
v0216	A1-A2	ADJECTIFS	mouillé / mouillée	C'est mouillé.	Le sol est mouillé, fais attention en marchant.	바닥이 젖어 있으니 걸을 때 조심해.	The floor is wet, so be careful when walking.
v0217	A1-A2	ADJECTIFS	propre	C'est propre.	Le plan de travail doit rester propre pendant la préparation.	조리 중에는 작업대를 깨끗하게 유지해야 한다.	The work surface must stay clean during preparation.
v0218	A1-A2	ADJECTIFS	sale	C'est sale.	Le sol est sale après le service.	서비스가 끝난 뒤 바닥이 더러워졌다.	The floor is dirty after service.
v0219	A1-A2	ADJECTIFS	difficile	C'est difficile.	Il est difficile de trouver un logement abordable dans cette ville.	이 도시에서 저렴한 집을 구하기는 어렵다.	It is difficult to find affordable housing in this city.
v0220	A1-A2	ADJECTIFS	facile	C'est facile.	Cette application est facile à utiliser, même au début.	이 앱은 처음에도 사용하기 쉽다.	This app is easy to use, even at first.
v0221	A1-A2	ADJECTIFS	intéressant / intéressante	C'est intéressant.	Ce documentaire est intéressant parce qu'il montre plusieurs points de vue.	이 다큐멘터리는 여러 관점을 보여줘서 흥미롭다.	This documentary is interesting because it shows several points of view.
v0222	A1-A2	ADJECTIFS	ennuyeux / ennuyeuse	C'est ennuyeux.	Le cours devient ennuyeux quand le professeur lit seulement ses notes.	교수가 노트만 읽으면 수업이 지루해진다.	The class becomes boring when the teacher only reads from the notes.
v0229	A1-A2	ADJECTIFS	léger / légère	C'est léger.	Ce sac est assez léger pour être porté toute la journée.	이 가방은 하루 종일 들고 다녀도 될 만큼 가볍다.	This bag is light enough to carry all day.
v0230	A1-A2	ADJECTIFS	lourd / lourde	C'est lourd.	Cette valise est trop lourde pour que je la porte seul.	이 여행가방은 너무 무거워서 혼자 들기 어렵다.	This suitcase is too heavy for me to carry alone.
v0231	A1-A2	ADJECTIFS	possible	C'est possible.	Il est possible de modifier la réservation en ligne.	온라인으로 예약을 변경할 수 있다.	It is possible to change the reservation online.
v0232	A1-A2	ADJECTIFS	impossible	C'est impossible.	Il est impossible de terminer ce travail en dix minutes.	이 일을 10분 안에 끝내는 것은 불가능하다.	It is impossible to finish this work in ten minutes.
v0233	A1-A2	ADJECTIFS	plein / pleine	C'est plein.	Le bus est plein, attendons le suivant.	버스가 꽉 찼으니 다음 버스를 기다리자.	The bus is full; let's wait for the next one.
v0234	A1-A2	ADJECTIFS	vide	C'est vide.	La salle est vide après la réunion.	회의가 끝난 뒤 회의실이 비어 있다.	The room is empty after the meeting.
v0235	A1-A2	ADJECTIFS	fort / forte	C'est fort.	Le signal est assez fort près de la fenêtre.	창가에서는 신호가 꽤 강하다.	The signal is fairly strong near the window.
v0236	A1-A2	ADJECTIFS	faible	C'est faible.	Le signal est faible dans le sous-sol.	지하에서는 신호가 약하다.	The signal is weak in the basement.
v0237	A1-A2	ADJECTIFS	marrant / marrante	C'est marrant.	Ce film est marrant sans être complètement absurde.	이 영화는 완전히 황당하지 않으면서도 웃기다.	This movie is funny without being completely absurd.
v0238	A1-A2	ADJECTIFS	drôle	C'est drôle.	Son histoire est drôle, tout le monde a ri.	그의 이야기가 재미있어서 모두가 웃었다.	His story is funny; everyone laughed.
v0242	A1-A2	ADJECTIFS	bizarre	C'est bizarre.	C'est bizarre qu'il ne réponde toujours pas.	그가 아직도 답이 없는 것은 이상하다.	It's strange that he still hasn't replied.
v0243	A1-A2	ADJECTIFS	bête	C'est bête.	C'était bête de partir sans vérifier l'adresse.	주소를 확인하지 않고 출발한 것은 어리석었다.	It was foolish to leave without checking the address.
v0245	A1-A2	ADJECTIFS	même	C'est même.	Nous avons le même problème depuis hier.	우리는 어제부터 같은 문제를 겪고 있다.	We have had the same problem since yesterday.
v0246	A1-A2	ADJECTIFS	pareil / pareille	C'est pareil.	Mon résultat est pareil au tien.	내 결과는 네 것과 같다.	My result is the same as yours.
v0247	A1-A2	ADJECTIFS	différent / différente	C'est différent.	Le résultat est différent de ce que j'attendais.	결과는 내가 예상했던 것과 다르다.	The result is different from what I expected.
v0248	A1-A2	ADJECTIFS	blanc / blanche	C'est blanc.	J'ai acheté un pull blanc pour l'hiver.	나는 겨울에 입을 흰 스웨터를 샀다.	I bought a white sweater for winter.
v0249	A1-A2	ADJECTIFS	noir / noire	C'est noir.	Il porte un manteau noir au travail.	그는 출근할 때 검은 코트를 입는다.	He wears a black coat to work.
v0250	A1-A2	ADJECTIFS	bleu / bleue	C'est bleu.	J'ai choisi un sac bleu pour le voyage.	나는 여행용으로 파란 가방을 골랐다.	I chose a blue bag for the trip.
v0251	A1-A2	ADJECTIFS	jaune	C'est jaune.	Le panneau jaune est facile à voir de loin.	노란 표지판은 멀리서도 잘 보인다.	The yellow sign is easy to see from far away.
v0252	A1-A2	ADJECTIFS	rouge	C'est rouge.	Appuie sur le bouton rouge en cas d'urgence.	비상시에는 빨간 버튼을 눌러.	Press the red button in an emergency.
v0253	A1-A2	ADJECTIFS	vert / verte	C'est vert.	Le feu est vert, on peut traverser.	신호가 초록불이라 건널 수 있다.	The light is green, so we can cross.
v0254	A1-A2	ADJECTIFS	rose	C'est rose.	Elle a choisi un téléphone rose.	그녀는 분홍색 휴대폰을 골랐다.	She chose a pink phone.
v0255	A1-A2	ADJECTIFS	marron	C'est marron.	Je porte des chaussures marron avec ce pantalon.	나는 이 바지에 갈색 신발을 신는다.	I wear brown shoes with these pants.
v0256	A1-A2	ADJECTIFS	gris / grise	C'est gris.	Le ciel est gris depuis ce matin.	오늘 아침부터 하늘이 회색빛이다.	The sky has been gray since this morning.
v0257	A1-A2	ADJECTIFS	violet / violette	C'est violet.	Elle a peint un mur violet dans sa chambre.	그녀는 방 벽 하나를 보라색으로 칠했다.	She painted one wall in her room purple.
v0278	A1-A2	ADVERBES	autre	C'est autre.	Je préfère une autre solution, plus simple à mettre en place.	나는 실행하기 더 쉬운 다른 해결책을 선호한다.	I prefer another solution that is easier to put in place.
v0302	A1-A2	ADVERBES	brusque	C'est brusque.	Son changement de ton a été brusque.	그의 말투 변화는 갑작스러웠다.	His change in tone was abrupt.
v0304	A1-A2	ADVERBES	général	C'est général.	En général, le magasin ferme à neuf heures.	일반적으로 그 가게는 9시에 문을 닫는다.	In general, the store closes at nine.
v0306	A1-A2	ADVERBES	normal	C'est normal.	C'est normal d'être fatigué après une longue journée.	긴 하루를 보낸 뒤 피곤한 것은 정상이다.	It's normal to be tired after a long day.
v0308	A1-A2	ADVERBES	usuel / usuelle	C'est usuel.	Cette expression est usuelle dans la langue parlée.	이 표현은 구어에서 흔히 쓰인다.	This expression is commonly used in spoken language.
v0310	A1-A2	ADVERBES	naturel / naturelle	C'est naturel.	Au début, parler devant tout le monde ne me semblait pas naturel.	처음에는 사람들 앞에서 말하는 것이 자연스럽게 느껴지지 않았다.	At first, speaking in front of everyone did not feel natural to me.
v0312	A1-A2	ADVERBES	actuel / actuelle	C'est actuel.	Le système actuel sera remplacé l'année prochaine.	현재 시스템은 내년에 교체될 예정이다.	The current system will be replaced next year.
v0320	A1-A2	ADVERBES	vrai(e)	C'est vrai.	C'est vrai qu'il faut réserver à l'avance.	미리 예약해야 한다는 것은 사실이다.	It's true that you need to book in advance.
v0322	A1-A2	ADVERBES	faux / fausse	C'est faux.	Cette information est fausse, vérifie la source.	이 정보는 틀렸으니 출처를 확인해.	This information is false; check the source.
v0324	A1-A2	ADVERBES	tel / telle	C'est tel.	Je n'avais jamais vu un tel changement en si peu de temps.	나는 이렇게 짧은 시간에 그런 변화를 본 적이 없다.	I had never seen such a change in such a short time.
v0327	A1-A2	ADVERBES	lent(e)	C'est lent.	Le service est lent ce soir parce qu'il manque du personnel.	오늘 저녁은 직원이 부족해서 서비스가 느리다.	Service is slow tonight because they are short-staffed.
v0330	A1-A2	ADVERBES	formidable	C'est formidable.	Le concert était formidable, surtout la dernière chanson.	콘서트는 훌륭했고 특히 마지막 곡이 좋았다.	The concert was fantastic, especially the last song.
v0332	A1-A2	ADVERBES	minable	C'est minable.	L'hôtel était minable malgré son prix élevé.	그 호텔은 가격이 비싼데도 형편없었다.	The hotel was awful despite its high price.
v0335	A1-A2	ADVERBES	égal(e)	C'est égal.	Les deux équipes ont obtenu un score égal.	두 팀은 같은 점수를 얻었다.	The two teams got the same score.
v0339	A1-A2	ADVERBES	immédiat(e)	C'est immédiat.	La réponse doit être immédiate en cas d'urgence.	비상 상황에서는 즉각적인 대응이 필요하다.	The response must be immediate in an emergency.
v0341	A1-A2	ADVERBES	sérieux / sérieuse	C'est sérieux.	Le problème est sérieux, il faut agir rapidement.	문제가 심각하니 빨리 조치해야 한다.	The problem is serious; we need to act quickly.
v0346	A1-A2	ADVERBES	patient(e)	C'est patient.	Il faut être patient quand on apprend une nouvelle langue.	새로운 언어를 배울 때는 인내심이 필요하다.	You need to be patient when learning a new language.
v0352	A1-A2	ADVERBES	ample	C'est ample.	Ce pantalon est trop ample à la taille.	이 바지는 허리가 너무 헐렁하다.	These pants are too loose at the waist.
v0355	A1-A2	ADVERBES	spécial(e)	C'est spécial.	Nous avons préparé un menu spécial pour les invités.	우리는 손님들을 위해 특별 메뉴를 준비했다.	We prepared a special menu for the guests.
v0371	A1-A2	ADVERBES	(la) fois	C'est fois.	C'est la première fois que je viens dans ce restaurant.	나는 이 식당에 처음 와 본다.	This is the first time I've been to this restaurant.
v0374	A1-A2	ADVERBES	(la) plupart	C'est plupart.	La plupart des clients paient par carte.	대부분의 손님은 카드로 결제한다.	Most customers pay by card.
v0375	A1-A2	ADVERBES	la majorité	C'est la majorité.	La majorité des participants ont accepté la proposition.	참가자 대다수가 제안을 받아들였다.	The majority of participants accepted the proposal.
v0376	A1-A2	ADVERBES	la minorité	C'est la minorité.	Une minorité des employés travaille encore à distance.	직원 중 소수는 여전히 원격으로 일한다.	A minority of employees still work remotely.
v0405	A1-A2	OBJETS	nul / nulle	C'est nul.	Ce chargeur est nul, il fonctionne une fois sur deux.	이 충전기는 별로라서 제대로 작동하지 않을 때가 많다.	This charger is terrible; it only works half the time.
v0407	A1-A2	OBJETS	sûr(e)	C'est sûr.	Je suis sûr d'avoir fermé la porte à clé.	나는 문을 잠갔다고 확신한다.	I'm sure I locked the door.
v0409	A1-A2	OBJETS	bas / basse	C'est bas.	La table est trop basse pour cette chaise.	이 테이블은 이 의자에 비해 너무 낮다.	The table is too low for this chair.
v0410	A1-A2	OBJETS	haut(e)	C'est haut.	L'étagère du haut est difficile à atteindre.	위쪽 선반은 손이 잘 닿지 않는다.	The top shelf is hard to reach.
v0411	A1-A2	OBJETS	élevé	C'est élevé.	Le prix est trop élevé pour mon budget.	가격이 내 예산에 비해 너무 높다.	The price is too high for my budget.
v0412	A1-A2	OBJETS	rapide	C'est rapide.	Le train est plus rapide que le bus à cette heure-ci.	이 시간에는 기차가 버스보다 빠르다.	The train is faster than the bus at this time.
v0414	A1-A2	OBJETS	courant(e)	C'est courant.	Cette erreur est assez courante chez les débutants.	이 실수는 초보자에게 꽤 흔하다.	This mistake is fairly common among beginners.
v0416	A1-A2	OBJETS	dur	C'est dur.	Ce pain est devenu dur après deux jours.	이 빵은 이틀이 지나 딱딱해졌다.	This bread became hard after two days.
v0417	A1-A2	OBJETS	bruyant(e)	C'est bruyant.	Le restaurant est trop bruyant pour discuter tranquillement.	이 식당은 너무 시끄러워서 편하게 대화하기 어렵다.	The restaurant is too noisy for a quiet conversation.
v0419	A1-A2	OBJETS	calme	C'est calme.	Le quartier est calme le soir.	이 동네는 저녁에 조용하다.	The neighborhood is quiet in the evening.
v0421	A1-A2	OBJETS	exact(e)	C'est exact.	L'adresse indiquée sur le formulaire est exacte.	양식에 적힌 주소는 정확하다.	The address on the form is correct.
v0423	A1-A2	OBJETS	juste	C'est juste.	Je trouve cette décision juste pour tout le monde.	나는 이 결정이 모두에게 공정하다고 생각한다.	I think this decision is fair to everyone.
v0425	A1-A2	OBJETS	attentif / attentive	C'est attentif.	Sois attentif aux consignes de sécurité.	안전 지침을 주의 깊게 들어.	Pay close attention to the safety instructions.
v0429	A1-A2	OBJETS	terrible	C'est terrible.	Le trajet a été terrible à cause de la tempête.	폭풍 때문에 이동이 정말 힘들었다.	The trip was terrible because of the storm.
v0431	A1-A2	OBJETS	paresseux / paresseuse	C'est paresseux.	Il est paresseux et remet toujours le travail au lendemain.	그는 게을러서 늘 일을 다음 날로 미룬다.	He is lazy and always puts work off until the next day.
v0434	A1-A2	OBJETS	vivant(e)	C'est vivant.	Le centre-ville est très vivant le vendredi soir.	도심은 금요일 저녁에 매우 활기차다.	Downtown is very lively on Friday evening.
v0435	A1-A2	OBJETS	mort(e)	C'est mort.	La batterie est morte, il faut la recharger.	배터리가 방전돼서 충전해야 한다.	The battery is dead; it needs to be recharged.
v0812	A1-A2	LES SPORTS	le sport	J'aime le sport.	Je fais du sport trois fois par semaine.	나는 일주일에 세 번 운동한다.	I exercise three times a week.
v0813	A1-A2	LES SPORTS	le foot	J'aime le foot.	Je joue au foot avec mes collègues le week-end.	나는 주말에 동료들과 축구를 한다.	I play soccer with my coworkers on weekends.
v0814	A1-A2	LES SPORTS	le baseball	J'aime le baseball.	On joue au baseball au parc quand il fait beau.	날씨가 좋으면 공원에서 야구를 한다.	We play baseball at the park when the weather is nice.
v0815	A1-A2	LES SPORTS	le basket(-ball)	J'aime le basket.	Je joue au basket après le travail.	나는 퇴근 후에 농구를 한다.	I play basketball after work.
v0816	A1-A2	LES SPORTS	le volley-ball	J'aime le volley-ball.	Nous jouons au volley-ball sur la plage en été.	우리는 여름에 해변에서 배구를 한다.	We play volleyball on the beach in summer.
v0817	A1-A2	LES SPORTS	le golf	J'aime le golf.	Il joue au golf le dimanche matin.	그는 일요일 아침에 골프를 친다.	He plays golf on Sunday mornings.
v0818	A1-A2	LES SPORTS	le tennis	J'aime le tennis.	Je joue au tennis deux fois par semaine.	나는 일주일에 두 번 테니스를 친다.	I play tennis twice a week.
v0819	A1-A2	LES SPORTS	le ping-pong	J'aime le ping-pong.	On joue au ping-pong pendant la pause.	우리는 쉬는 시간에 탁구를 친다.	We play table tennis during the break.
v0820	A1-A2	LES SPORTS	le badminton	J'aime le badminton.	Je joue au badminton avec un ami au gymnase.	나는 체육관에서 친구와 배드민턴을 친다.	I play badminton with a friend at the gym.
v0821	A1-A2	LES SPORTS	le jogging	J'aime le jogging.	Je fais du jogging tôt le matin avant le travail.	나는 출근 전에 이른 아침에 조깅을 한다.	I go jogging early in the morning before work.
v0822	A1-A2	LES SPORTS	la gymnastique	J'aime la gymnastique.	Elle fait de la gymnastique pour améliorer sa souplesse.	그녀는 유연성을 기르기 위해 체조를 한다.	She does gymnastics to improve her flexibility.
v0823	A1-A2	LES SPORTS	la boxe	J'aime la boxe.	Il fait de la boxe deux soirs par semaine.	그는 일주일에 이틀 저녁 복싱을 한다.	He boxes two evenings a week.
v0824	A1-A2	LES SPORTS	l'athlétisme (m.)	J'aime l'athlétisme.	L'athlétisme demande de la vitesse et de l'endurance.	육상은 속도와 지구력이 필요하다.	Athletics requires speed and endurance.
v0825	A1-A2	LES SPORTS	le taekwondo	J'aime le taekwondo.	Elle fait du taekwondo depuis trois ans.	그녀는 3년째 태권도를 하고 있다.	She has been doing taekwondo for three years.
v0826	A1-A2	LES SPORTS	le judo	J'aime le judo.	Mon fils fait du judo après l'école.	내 아들은 방과 후에 유도를 한다.	My son does judo after school.
v0827	A1-A2	LES SPORTS	la natation	J'aime la natation.	Je fais de la natation pour renforcer mon dos.	나는 허리를 강화하기 위해 수영을 한다.	I swim to strengthen my back.
v0828	A1-A2	LES SPORTS	l'équitation (f.)	J'aime l'équitation.	Elle fait de l'équitation chaque samedi.	그녀는 매주 토요일 승마를 한다.	She goes horseback riding every Saturday.
v0829	A1-A2	LES SPORTS	la randonnée	J'aime la randonnée.	Nous faisons de la randonnée en montagne quand il fait frais.	우리는 날씨가 선선할 때 산에서 하이킹을 한다.	We go hiking in the mountains when the weather is cool.
v0830	A1-A2	LES SPORTS	le ski	J'aime le ski.	Je fais du ski pendant mes vacances d'hiver.	나는 겨울 휴가 때 스키를 탄다.	I ski during my winter vacation.
v0840	A1-A2	LES INSTRUMENTS DE MUSIQUE	la batterie	J'aime la batterie.	Je joue de la batterie dans un petit groupe.	나는 작은 밴드에서 드럼을 연주한다.	I play drums in a small band.
v0852	A1-A2	VÊTEMENTS	le vêtement	J'aime le vêtement.	Je prépare mes vêtements la veille pour gagner du temps le matin.	나는 아침 시간을 아끼려고 전날 밤에 옷을 미리 준비한다.	I prepare my clothes the night before to save time in the morning.
v0853	A1-A2	VÊTEMENTS	le pantalon	J'aime le pantalon.	Je porte un pantalon noir au travail.	나는 출근할 때 검은 바지를 입는다.	I wear black pants to work.
v0854	A1-A2	VÊTEMENTS	le short	J'aime le short.	Je mets un short quand il fait très chaud.	나는 날씨가 아주 더울 때 반바지를 입는다.	I wear shorts when it is very hot.
v0855	A1-A2	VÊTEMENTS	le jean	J'aime le jean.	Ce jean est confortable, même après une longue journée.	이 청바지는 하루 종일 입어도 편하다.	These jeans are comfortable even after a long day.
v0856	A1-A2	VÊTEMENTS	la salopette	J'aime la salopette.	Elle porte une salopette pour travailler dans le jardin.	그녀는 정원에서 일할 때 멜빵바지를 입는다.	She wears overalls when working in the garden.
v0857	A1-A2	VÊTEMENTS	la jupe	J'aime la jupe.	Elle a choisi une jupe noire pour l'entretien.	그녀는 면접을 위해 검은 치마를 골랐다.	She chose a black skirt for the interview.
v0858	A1-A2	VÊTEMENTS	la robe	J'aime la robe.	Elle porte une robe simple pour le dîner.	그녀는 저녁 식사에 심플한 드레스를 입는다.	She wears a simple dress for dinner.
v0859	A1-A2	VÊTEMENTS	le tee-shirt	J'aime le tee-shirt.	Je mets un tee-shirt propre après la séance de sport.	나는 운동 후에 깨끗한 티셔츠로 갈아입는다.	I put on a clean T-shirt after working out.
v0860	A1-A2	VÊTEMENTS	la chemise	J'aime la chemise.	Je repasse ma chemise avant d'aller au travail.	나는 출근하기 전에 셔츠를 다린다.	I iron my shirt before going to work.
v0861	A1-A2	VÊTEMENTS	le pull	J'aime le pull.	Je mets un pull quand la température baisse.	나는 기온이 내려가면 스웨터를 입는다.	I put on a sweater when the temperature drops.
v0862	A1-A2	VÊTEMENTS	le gilet	J'aime le gilet.	Il porte un gilet par-dessus sa chemise.	그는 셔츠 위에 조끼를 입는다.	He wears a vest over his shirt.
v0863	A1-A2	VÊTEMENTS	le manteau	J'aime le manteau.	N'oublie pas ton manteau, il fait froid dehors.	밖이 추우니 코트를 잊지 마.	Don't forget your coat; it's cold outside.
v0864	A1-A2	VÊTEMENTS	le blouson	J'aime le blouson.	Je porte un blouson léger au printemps.	나는 봄에 가벼운 재킷을 입는다.	I wear a light jacket in spring.
v0865	A1-A2	VÊTEMENTS	la veste	J'aime la veste.	Il a mis une veste pour la réunion.	그는 회의를 위해 재킷을 입었다.	He put on a jacket for the meeting.
v0866	A1-A2	VÊTEMENTS	le costume	J'aime le costume.	Il porte un costume pour les occasions formelles.	그는 격식 있는 자리에서 정장을 입는다.	He wears a suit for formal occasions.
v0867	A1-A2	VÊTEMENTS	le pyjama	J'aime le pyjama.	Je mets mon pyjama juste avant de me coucher.	나는 잠자리에 들기 직전에 파자마를 입는다.	I put on my pajamas just before going to bed.
v0868	A1-A2	VÊTEMENTS	l'imperméable (m.)	J'aime l'imperméable.	Je prends un imperméable quand la météo annonce de la pluie.	나는 일기예보에 비 소식이 있으면 우비를 챙긴다.	I take a raincoat when the forecast calls for rain.
v0869	A1-A2	VÊTEMENTS	le parapluie	J'aime le parapluie.	J'ai toujours un parapluie dans mon sac quand il risque de pleuvoir.	나는 비가 올 것 같으면 항상 가방에 우산을 넣어 둔다.	I always keep an umbrella in my bag when it might rain.
v0870	A1-A2	VÊTEMENTS	le maillot (de bain)	J'aime le maillot de bain.	Je mets mon maillot de bain avant d'aller à la piscine.	나는 수영장에 가기 전에 수영복을 입는다.	I put on my swimsuit before going to the pool.
v0871	A1-A2	LES ACCESSOIRES	les lunettes (f.)	J'aime les lunettes.	Je porte des lunettes pour lire les petits caractères.	나는 작은 글씨를 읽을 때 안경을 쓴다.	I wear glasses to read small print.
v0872	A1-A2	LES ACCESSOIRES	les lunettes de plongée (f.)	J'aime les lunettes de plongée.	Je mets mes lunettes de plongée avant d'entrer dans l'eau.	나는 물에 들어가기 전에 다이빙 고글을 쓴다.	I put on my diving goggles before getting into the water.
v0873	A1-A2	LES ACCESSOIRES	les lunettes de soleil (f.)	J'aime les lunettes de soleil.	Je porte des lunettes de soleil quand la lumière est trop forte.	나는 햇빛이 너무 강할 때 선글라스를 쓴다.	I wear sunglasses when the light is too strong.
v0874	A1-A2	LES ACCESSOIRES	le chapeau	J'aime le chapeau.	Il met un chapeau pour se protéger du soleil.	그는 햇빛을 피하려고 모자를 쓴다.	He wears a hat to protect himself from the sun.
v0875	A1-A2	LES ACCESSOIRES	la casquette	J'aime la casquette.	Je porte une casquette quand je vais courir dehors.	나는 밖에서 달릴 때 캡을 쓴다.	I wear a cap when I go running outside.
v0876	A1-A2	LES ACCESSOIRES	le gant	J'aime le gant.	Je mets des gants avant de sortir quand il gèle.	나는 날씨가 영하일 때 외출하기 전에 장갑을 낀다.	I put on gloves before going out when it is freezing.
v0877	A1-A2	LES ACCESSOIRES	l'écharpe (f.)	J'aime l'écharpe.	J'enroule une écharpe autour de mon cou quand il fait froid.	나는 추울 때 목에 목도리를 두른다.	I wrap a scarf around my neck when it is cold.
v0878	A1-A2	LES ACCESSOIRES	la cravate	J'aime la cravate.	Il porte une cravate avec son costume pour la cérémonie.	그는 행사에서 정장과 함께 넥타이를 맨다.	He wears a tie with his suit for the ceremony.
v0879	A1-A2	LES ACCESSOIRES	la ceinture	J'aime la ceinture.	Cette ceinture est trop large pour mon pantalon.	이 벨트는 내 바지에 너무 크다.	This belt is too large for my pants.
v0880	A1-A2	LES ACCESSOIRES	les chaussettes (f.)	J'aime les chaussettes.	Je change de chaussettes après le sport.	나는 운동 후에 양말을 갈아 신는다.	I change my socks after exercising.
v0881	A1-A2	LES ACCESSOIRES	les bas (m.)	J'aime les bas.	Elle porte des bas avec cette robe en hiver.	그녀는 겨울에 이 드레스와 스타킹을 신는다.	She wears stockings with this dress in winter.
v0882	A1-A2	LES ACCESSOIRES	les collants	J'aime les collants.	Elle met des collants épais quand il fait froid.	그녀는 추울 때 두꺼운 타이츠를 입는다.	She wears thick tights when it is cold.
v0883	A1-A2	LES ACCESSOIRES	les chaussures (f.)	J'aime les chaussures.	Ces chaussures sont assez confortables pour marcher toute la journée.	이 신발은 하루 종일 걸어도 충분히 편하다.	These shoes are comfortable enough to walk in all day.
v0884	A1-A2	LES ACCESSOIRES	les baskets (f.)	J'aime les baskets.	Je mets des baskets pour aller à la salle de sport.	나는 헬스장에 갈 때 운동화를 신는다.	I wear sneakers to go to the gym.
