id	level	category	word	old_example	new_example	new_ko	new_en
v0953	A1-A2	LA NATURE	la fleur	On voit souvent la fleur dans la nature.	Cette fleur commence à s'ouvrir au printemps.	이 꽃은 봄에 피기 시작한다.	This flower begins to bloom in spring.
v0954	A1-A2	LA NATURE	l'herbe (f.)	On voit souvent l'herbe dans la nature.	L'herbe est encore mouillée après la pluie.	비가 온 뒤라 잔디가 아직 젖어 있다.	The grass is still wet after the rain.
v0955	A1-A2	LA NATURE	le tronc	On voit souvent le tronc dans la nature.	Le tronc de cet arbre est très épais.	이 나무의 줄기는 매우 굵다.	The trunk of this tree is very thick.
v0956	A1-A2	LA NATURE	la feuille	On voit souvent la feuille dans la nature.	Une feuille est tombée sur mon manteau.	잎 하나가 내 코트 위에 떨어졌다.	A leaf fell on my coat.
v0957	A1-A2	LA NATURE	la racine	On voit souvent la racine dans la nature.	Les racines absorbent l'eau dans le sol.	뿌리는 땅속의 물을 흡수한다.	Roots absorb water from the soil.
v0958	A1-A2	LA NATURE	la branche	On voit souvent la branche dans la nature.	Une branche est tombée pendant la tempête.	폭풍 동안 나뭇가지 하나가 떨어졌다.	A branch fell during the storm.
v0959	A1-A2	LA NATURE	le pétale	On voit souvent le pétale dans la nature.	Un pétale est tombé de la fleur.	꽃잎 하나가 꽃에서 떨어졌다.	A petal fell from the flower.
v0960	A1-A2	LA NATURE	la rose	On voit souvent la rose dans la nature.	Il lui a offert une rose rouge pour son anniversaire.	그는 그녀의 생일에 빨간 장미 한 송이를 선물했다.	He gave her a red rose for her birthday.
v0961	A1-A2	LA NATURE	le tournesol	On voit souvent le tournesol dans la nature.	Le tournesol se tourne vers la lumière.	해바라기는 빛이 있는 방향으로 향한다.	The sunflower turns toward the light.
v0962	A1-A2	LA NATURE	la tulipe	On voit souvent la tulipe dans la nature.	Les tulipes fleurissent au début du printemps.	튤립은 초봄에 핀다.	Tulips bloom in early spring.
v0963	A1-A2	LA NATURE	le lis / lys	On voit souvent le lis dans la nature.	Le lis blanc dégage un parfum assez fort.	흰 백합은 향이 꽤 강하다.	The white lily has a fairly strong fragrance.
v0964	A1-A2	LA NATURE	le cerisier	On voit souvent le cerisier dans la nature.	Le cerisier est couvert de fleurs roses au printemps.	벚나무는 봄이 되면 분홍 꽃으로 뒤덮인다.	The cherry tree is covered with pink blossoms in spring.
v0965	A1-A2	LA NATURE	la terre	On voit souvent la terre dans la nature.	La terre est trop sèche ; il faut arroser les plantes.	흙이 너무 말랐으니 식물에 물을 줘야 한다.	The soil is too dry; the plants need watering.
v0966	A1-A2	LA NATURE	le sable	On voit souvent le sable dans la nature.	Le sable est brûlant en plein après-midi.	한낮에는 모래가 뜨겁다.	The sand is scorching hot in the middle of the afternoon.
v0967	A1-A2	LA NATURE	le ciel	On voit souvent le ciel dans la nature.	Le ciel devient orange juste avant le coucher du soleil.	해가 지기 직전에 하늘이 주황빛으로 변한다.	The sky turns orange just before sunset.
v0968	A1-A2	LA NATURE	l'étoile (f.)	On voit souvent l'étoile dans la nature.	On voit mieux les étoiles loin des lumières de la ville.	도시의 불빛에서 멀리 떨어지면 별이 더 잘 보인다.	You can see the stars better away from city lights.
v0969	A1-A2	LA NATURE	la lune	On voit souvent la lune dans la nature.	La lune est presque pleine ce soir.	오늘 밤 달은 거의 보름달이다.	The moon is almost full tonight.
v0970	A1-A2	LA NATURE	l'univers (m.)	On voit souvent l'univers dans la nature.	L'univers contient des milliards de galaxies.	우주에는 수십억 개의 은하가 있다.	The universe contains billions of galaxies.
v0971	A1-A2	LA NATURE	le volcan	On voit souvent le volcan dans la nature.	Le volcan est surveillé en raison d'une activité récente.	최근 활동 때문에 그 화산을 감시하고 있다.	The volcano is being monitored because of recent activity.
v0972	A1-A2	LA NATURE	le glacier	On voit souvent le glacier dans la nature.	Ce glacier recule à cause de la hausse des températures.	이 빙하는 기온 상승 때문에 줄어들고 있다.	This glacier is retreating because of rising temperatures.
v0973	A1-A2	LA NATURE	la météo	On voit souvent la météo dans la nature.	Je vérifie la météo avant de partir en randonnée.	나는 하이킹을 떠나기 전에 날씨를 확인한다.	I check the weather before going hiking.
v0977	A1-A2	LA NATURE	le nuage	On voit souvent le nuage dans la nature.	De gros nuages arrivent par l'ouest.	큰 구름이 서쪽에서 다가오고 있다.	Large clouds are moving in from the west.
v0979	A1-A2	LA NATURE	la brise	On voit souvent la brise dans la nature.	Une légère brise rend la chaleur plus supportable.	가벼운 산들바람 덕분에 더위를 견디기 쉬워진다.	A light breeze makes the heat more bearable.
v0981	A1-A2	LA NATURE	l'ambiance (f.)	On voit souvent l'ambiance dans la nature.	L'ambiance du restaurant est calme et chaleureuse.	그 식당의 분위기는 차분하고 따뜻하다.	The atmosphere in the restaurant is calm and welcoming.
v0982	A1-A2	LA NATURE	l'arc-en-ciel (m.)	On voit souvent l'arc-en-ciel dans la nature.	Un arc-en-ciel est apparu après l'orage.	폭풍우가 지나간 뒤 무지개가 나타났다.	A rainbow appeared after the storm.
v0988	A1-A2	LA NATURE	l'inondation (f.)	On voit souvent l'inondation dans la nature.	L'inondation a bloqué plusieurs routes de la région.	홍수로 그 지역의 여러 도로가 막혔다.	The flood blocked several roads in the area.
v0989	A1-A2	LA NATURE	la sécheresse	On voit souvent la sécheresse dans la nature.	La sécheresse a réduit les récoltes cette année.	가뭄으로 올해 수확량이 줄었다.	The drought reduced harvests this year.
v0990	A1-A2	LA NATURE	l'eau (f.)	On voit souvent l'eau dans la nature.	Il faut boire assez d'eau quand il fait chaud.	더울 때는 물을 충분히 마셔야 한다.	You need to drink enough water when it is hot.
v0991	A1-A2	LA NATURE	la vague	On voit souvent la vague dans la nature.	Une grosse vague a éclaboussé tout le monde sur le bateau.	큰 파도가 배 위의 모든 사람에게 물을 튀겼다.	A large wave splashed everyone on the boat.
v0992	A1-A2	LA NATURE	la température	On voit souvent la température dans la nature.	La température va descendre sous zéro cette nuit.	오늘 밤 기온이 영하로 내려갈 것이다.	The temperature will drop below zero tonight.
v0993	A1-A2	LA NATURE	le thermomètre	On voit souvent le thermomètre dans la nature.	Le thermomètre indique trente degrés.	온도계가 30도를 가리킨다.	The thermometer shows thirty degrees.
v0994	A1-A2	LA NATURE	la chaleur	On voit souvent la chaleur dans la nature.	La chaleur devient difficile à supporter l'après-midi.	오후가 되면 더위를 견디기 힘들어진다.	The heat becomes hard to bear in the afternoon.
v0995	A1-A2	LA NATURE	l'humidité (f.)	On voit souvent l'humidité dans la nature.	L'humidité est très élevée aujourd'hui.	오늘 습도가 매우 높다.	The humidity is very high today.
v0996	A1-A2	LA NATURE	la lumière	On voit souvent la lumière dans la nature.	Cette pièce manque de lumière naturelle.	이 방은 자연광이 부족하다.	This room lacks natural light.
v0997	A1-A2	LA NATURE	le tremblement de terre	On voit souvent le tremblement de terre dans la nature.	Le tremblement de terre a été ressenti dans plusieurs villes.	지진이 여러 도시에서 감지되었다.	The earthquake was felt in several cities.
v0998	A1-A2	LA NATURE	la pierre	On voit souvent la pierre dans la nature.	Il a ramassé une petite pierre sur la plage.	그는 해변에서 작은 돌 하나를 주웠다.	He picked up a small stone on the beach.
v0999	A1-A2	LA NATURE	le rocher	On voit souvent le rocher dans la nature.	Le bateau s'est approché trop près du rocher.	배가 바위에 너무 가까이 접근했다.	The boat got too close to the rock.
v1000	A1-A2	LE CORPS	le corps	Le médecin examine le corps.	Il faut bien s'échauffer avant l'entraînement pour préparer le corps.	운동 전에 몸을 준비하려면 충분히 워밍업해야 한다.	You should warm up well before training to prepare your body.
v1001	A1-A2	LE CORPS	le bras	Le médecin examine le bras.	J'ai mal au bras depuis que j'ai porté cette boîte lourde.	무거운 상자를 든 뒤부터 팔이 아프다.	My arm has hurt since I carried that heavy box.
v1002	A1-A2	LE CORPS	le coude	Le médecin examine le coude.	Je me suis cogné le coude contre la table.	나는 테이블에 팔꿈치를 부딪쳤다.	I hit my elbow on the table.
v1003	A1-A2	LE CORPS	la main	Le médecin examine la main.	Lavez-vous les mains avant de préparer à manger.	음식을 준비하기 전에 손을 씻으세요.	Wash your hands before preparing food.
v1004	A1-A2	LE CORPS	le poignet	Le médecin examine le poignet.	J'ai mal au poignet quand je soulève une casserole lourde.	무거운 냄비를 들면 손목이 아프다.	My wrist hurts when I lift a heavy pot.
v1005	A1-A2	LE CORPS	le doigt	Le médecin examine le doigt.	Je me suis coupé le doigt en préparant les légumes.	채소를 손질하다가 손가락을 베었다.	I cut my finger while preparing the vegetables.
v1006	A1-A2	LE CORPS	l'ongle (m.)	Le médecin examine l'ongle.	Je me suis cassé un ongle en ouvrant la boîte.	상자를 열다가 손톱 하나가 부러졌다.	I broke a nail while opening the box.
v1007	A1-A2	LE CORPS	l'orteil (m.)	Le médecin examine l'orteil.	Je me suis cogné l'orteil contre le pied du lit.	침대 다리에 발가락을 찧었다.	I stubbed my toe on the bed frame.
v1008	A1-A2	LE CORPS	la cheville	Le médecin examine la cheville.	Je me suis tordu la cheville en descendant l'escalier.	계단을 내려가다가 발목을 삐었다.	I twisted my ankle while going down the stairs.
v1009	A1-A2	LE CORPS	le pied	Le médecin examine le pied.	J'ai mal au pied après avoir marché toute la journée.	하루 종일 걸어서 발이 아프다.	My foot hurts after walking all day.
v1010	A1-A2	LE CORPS	le genou	Le médecin examine le genou.	Mon genou me fait mal quand je monte les escaliers.	계단을 오를 때 무릎이 아프다.	My knee hurts when I climb stairs.
v1011	A1-A2	LE CORPS	la jambe	Le médecin examine la jambe.	J'ai les jambes fatiguées après le travail.	일을 마치고 나면 다리가 피곤하다.	My legs are tired after work.
v1012	A1-A2	LE CORPS	la cuisse	Le médecin examine la cuisse.	J'ai une douleur à la cuisse après avoir couru.	달리고 나서 허벅지가 아프다.	I have pain in my thigh after running.
v1013	A1-A2	LE CORPS	le mollet	Le médecin examine le mollet.	J'ai une crampe au mollet après la course.	달리기 후에 종아리에 쥐가 났다.	I have a cramp in my calf after the run.
v1014	A1-A2	LE CORPS	les fesses (f.)	Le médecin examine les fesses.	Il est tombé sur les fesses en glissant sur la glace.	그는 얼음 위에서 미끄러져 엉덩방아를 찧었다.	He landed on his backside after slipping on the ice.
v1015	A1-A2	LE CORPS	le dos	Le médecin examine le dos.	J'ai mal au dos après être resté debout toute la journée.	하루 종일 서 있었더니 등이 아프다.	My back hurts after standing all day.
v1016	A1-A2	LE CORPS	le ventre	Le médecin examine le ventre.	J'ai mal au ventre depuis ce matin.	오늘 아침부터 배가 아프다.	I've had a stomachache since this morning.
v1017	A1-A2	LE CORPS	le nombril	Le médecin examine le nombril.	Le bébé a encore son nombril recouvert d'un petit pansement.	아기는 아직 배꼽에 작은 밴드를 붙이고 있다.	The baby's belly button is still covered with a small bandage.
v1018	A1-A2	LE CORPS	la taille	Le médecin examine la taille.	Ce pantalon est trop serré à la taille.	이 바지는 허리가 너무 꽉 낀다.	These pants are too tight at the waist.
v1019	A1-A2	LE CORPS	la poitrine	Le médecin examine la poitrine.	Elle ressent une douleur dans la poitrine quand elle respire profondément.	그녀는 깊이 숨 쉴 때 가슴에 통증을 느낀다.	She feels pain in her chest when she breathes deeply.
v1020	A1-A2	LE CORPS	l'épaule (f.)	Le médecin examine l'épaule.	J'ai mal à l'épaule après avoir porté mon sac toute la journée.	하루 종일 가방을 메고 다녀서 어깨가 아프다.	My shoulder hurts after carrying my bag all day.
v1021	A1-A2	LE CORPS	la nuque	Le médecin examine la nuque.	J'ai la nuque raide après avoir dormi dans une mauvaise position.	잘못된 자세로 자서 목덜미가 뻣뻣하다.	My neck is stiff after sleeping in a bad position.
v1022	A1-A2	LE CORPS	le cou	Le médecin examine le cou.	Cette chemise est trop serrée au niveau du cou.	이 셔츠는 목 부분이 너무 꽉 낀다.	This shirt is too tight around the neck.
v1023	A1-A2	LE CORPS	la gorge	Le médecin examine la gorge.	J'ai mal à la gorge et j'ai du mal à avaler.	목이 아프고 삼키기 힘들다.	I have a sore throat and it's hard to swallow.
v1024	A1-A2	LE CORPS	la tête	Le médecin examine la tête.	J'ai mal à la tête depuis ce matin.	오늘 아침부터 머리가 아프다.	I've had a headache since this morning.
v1025	A1-A2	LE CORPS	le visage	Le médecin examine le visage.	Lavez-vous le visage à l'eau tiède.	미지근한 물로 얼굴을 씻으세요.	Wash your face with lukewarm water.
v1027	A1-A2	LE CORPS	l'œil (m.)	Le médecin examine l'œil.	J'ai quelque chose dans l'œil.	눈에 뭔가 들어갔다.	I have something in my eye.
v1028	A1-A2	LE CORPS	les yeux (m.)	Le médecin examine les yeux.	Mes yeux sont fatigués après plusieurs heures devant l'écran.	몇 시간 동안 화면을 봐서 눈이 피곤하다.	My eyes are tired after several hours in front of the screen.
v1029	A1-A2	LE CORPS	les sourcils (m.)	Le médecin examine les sourcils.	Elle lève les sourcils quand elle est surprise.	그녀는 놀라면 눈썹을 치켜올린다.	She raises her eyebrows when she is surprised.
v1030	A1-A2	LE CORPS	les cils (m.)	Le médecin examine les cils.	Elle a de longs cils naturels.	그녀는 속눈썹이 자연스럽게 길다.	She has naturally long eyelashes.
v1031	A1-A2	LE CORPS	le nez	Le médecin examine le nez.	J'ai le nez bouché depuis hier.	어제부터 코가 막혀 있다.	My nose has been blocked since yesterday.
v1032	A1-A2	LE CORPS	la bouche	Le médecin examine la bouche.	Ouvre la bouche et dis « ah ».	입을 벌리고 ‘아’라고 하세요.	Open your mouth and say 'ah.'
v1033	A1-A2	LE CORPS	la lèvre	Le médecin examine la lèvre.	Je me suis mordu la lèvre en mangeant.	먹다가 입술을 깨물었다.	I bit my lip while eating.
v1034	A1-A2	LE CORPS	la langue	Le médecin examine la langue.	Je me suis brûlé la langue avec le café trop chaud.	너무 뜨거운 커피에 혀를 데었다.	I burned my tongue on the coffee because it was too hot.
v1036	A1-A2	LE CORPS	la dent	Le médecin examine la dent.	J'ai une dent sensible au froid.	찬 것에 시린 이가 하나 있다.	I have a tooth that is sensitive to cold.
v1037	A1-A2	LE CORPS	le menton	Le médecin examine le menton.	Il s'est coupé au menton en se rasant.	그는 면도하다가 턱을 베었다.	He cut his chin while shaving.
v1038	A1-A2	LE CORPS	l'oreille (f.)	Le médecin examine l'oreille.	J'ai mal à l'oreille depuis cette nuit.	어젯밤부터 귀가 아프다.	My ear has hurt since last night.
v1039	A1-A2	LE CORPS	la joue	Le médecin examine la joue.	L'enfant a une petite coupure sur la joue.	아이는 볼에 작은 상처가 있다.	The child has a small cut on the cheek.
v1040	A1-A2	LE CORPS	le front	Le médecin examine le front.	Il a posé la main sur son front pour vérifier s'il avait de la fièvre.	그는 열이 있는지 확인하려고 이마에 손을 댔다.	He put his hand on his forehead to check whether he had a fever.
v1041	A1-A2	LE CORPS	la peau	Le médecin examine la peau.	Ma peau devient très sèche en hiver.	내 피부는 겨울에 매우 건조해진다.	My skin gets very dry in winter.
v1042	A1-A2	LE CORPS	la barbe	Le médecin examine la barbe.	Il se taille la barbe une fois par semaine.	그는 일주일에 한 번 수염을 다듬는다.	He trims his beard once a week.
v1043	A1-A2	LE CORPS	la moustache	Le médecin examine la moustache.	Il a décidé de se laisser pousser la moustache.	그는 콧수염을 기르기로 했다.	He decided to grow a mustache.
v1044	A1-A2	LE CORPS	l'os (m.)	Le médecin examine l'os.	Il s'est cassé un os de la main en tombant.	그는 넘어지면서 손의 뼈 하나가 부러졌다.	He broke a bone in his hand when he fell.
v1045	A1-A2	LE CORPS	le cœur	Le médecin examine le cœur.	L'exercice régulier est bon pour le cœur.	규칙적인 운동은 심장에 좋다.	Regular exercise is good for the heart.
v1048	A1-A2	LE CORPS	le muscle	Le médecin examine le muscle.	Je fais des exercices pour renforcer les muscles du dos.	나는 등 근육을 강화하려고 운동한다.	I do exercises to strengthen my back muscles.
v1050	A1-A2	LES GENS ET FAMILLE	les gens	Je parle souvent avec les gens.	Il y avait beaucoup de gens dans le métro ce matin.	오늘 아침 지하철에 사람이 많았다.	There were a lot of people on the subway this morning.
v1051	A1-A2	LES GENS ET FAMILLE	la personne	Je parle souvent avec la personne.	Une personne vous attend à la réception.	한 분이 리셉션에서 당신을 기다리고 있다.	Someone is waiting for you at reception.
v1053	A1-A2	LES GENS ET FAMILLE	le peuple	Je parle souvent avec le peuple.	Le peuple a voté pour choisir son nouveau président.	국민은 새 대통령을 뽑기 위해 투표했다.	The people voted to choose their new president.
v1054	A1-A2	LES GENS ET FAMILLE	l'humain (m.)	Je parle souvent avec l'humain.	Chaque humain a besoin d'eau pour vivre.	모든 인간은 살아가기 위해 물이 필요하다.	Every human needs water to live.
v1055	A1-A2	LES GENS ET FAMILLE	le genre humain	Je parle souvent avec le genre humain.	Le changement climatique concerne l'ensemble du genre humain.	기후 변화는 인류 전체와 관련된 문제다.	Climate change concerns all of humankind.
v1056	A1-A2	LES GENS ET FAMILLE	l'homme (m.)	Je parle souvent avec l'homme.	Un homme m'a aidé à porter ma valise.	한 남자가 내 여행가방을 드는 것을 도와줬다.	A man helped me carry my suitcase.
v1057	A1-A2	LES GENS ET FAMILLE	la femme	Je parle souvent avec la femme.	Une femme travaille à l'accueil aujourd'hui.	오늘 접수 데스크에는 한 여성이 근무하고 있다.	A woman is working at reception today.
v1059	A1-A2	LES GENS ET FAMILLE	le couple	Je parle souvent avec le couple.	Le couple cherche un appartement plus grand.	그 커플은 더 큰 아파트를 찾고 있다.	The couple is looking for a larger apartment.
v1060	A1-A2	LES GENS ET FAMILLE	l'épouse (f.)	Je parle souvent avec l'épouse.	Son épouse travaille dans un hôpital.	그의 아내는 병원에서 일한다.	His wife works in a hospital.
v1061	A1-A2	LES GENS ET FAMILLE	l'époux (m.)	Je parle souvent avec l'époux.	Son époux l'accompagnera au rendez-vous.	그녀의 남편이 약속 장소에 함께 갈 것이다.	Her husband will accompany her to the appointment.
v1062	A1-A2	LES GENS ET FAMILLE	la famille	Je parle souvent avec la famille.	Toute la famille se réunit pour l'anniversaire de ma mère.	온 가족이 어머니 생일을 위해 모인다.	The whole family gets together for my mother's birthday.
v1063	A1-A2	LES GENS ET FAMILLE	les parents	Je parle souvent avec les parents.	Mes parents vivent à deux heures d'ici.	우리 부모님은 여기서 두 시간 거리에 사신다.	My parents live two hours from here.
v1068	A1-A2	LES GENS ET FAMILLE	les enfants	Je parle souvent avec les enfants.	Les enfants jouent dehors après l'école.	아이들은 방과 후 밖에서 논다.	The children play outside after school.
v1069	A1-A2	LES GENS ET FAMILLE	le fils	Je parle souvent avec le fils.	Leur fils commence l'université en septembre.	그들의 아들은 9월에 대학에 들어간다.	Their son starts university in September.
